hue,saturation,value
55.33333,0.53254,0.66275
336.42857,0.90741,0.84706
225.25424,0.53153,0.87059
82.89855,0.96729,0.83922
326.82692,0.87029,0.93725
120.68966,0.69048,0.98824
142.22222,0.67839,0.78039
131.00000,0.84507,0.27843
220.85890,0.66803,0.95686
179.03226,0.82119,0.59216
31.74603,0.83628,0.88627
284.02878,0.62054,0.87843
95.90164,0.85315,0.56078
258.62069,0.99571,0.91373
153.46154,0.20884,0.97647
55.90909,0.75536,0.91373
65.35714,0.35000,0.62745
83.18182,0.58278,0.59216
248.94410,0.86559,0.72941
22.59740,0.57463,0.52549
95.50459,0.98643,0.86667
108.51064,0.41964,0.87843
176.86567,0.70157,0.74902
179.23077,0.44318,0.69020
103.39806,0.97630,0.82745
149.24051,0.73832,0.83922
249.20245,0.68487,0.93333
78.88112,0.79006,0.70980
280.00000,0.92195,0.80392
250.67797,0.52444,0.88235
221.48148,0.64032,0.99216
310.85106,0.88679,0.41569
289.91150,0.83704,0.52941
256.66667,0.65854,0.64314
29.44444,0.97297,0.43529
337.02128,0.69458,0.79608
83.14286,0.44025,0.62353
255.13514,0.49333,0.88235
48.19149,0.79325,0.92941
264.62687,0.83750,0.62745
291.87500,0.38095,0.98824
324.06417,0.89904,0.81569
334.88372,0.71074,0.47451
332.06897,0.73885,0.61569
119.31818,0.88000,0.78431
212.67857,0.46862,0.93725
148.20513,0.67630,0.67843
175.23810,0.57014,0.86667
351.56250,0.72316,0.69412
129.81818,0.91667,0.23529
316.90141,0.83529,1.00000
211.11111,0.13706,0.77255
255.57252,0.70811,0.72549
3.07692,0.59391,0.77255
130.37594,0.55882,0.93333
150.36145,0.50920,0.63922
77.70492,0.52814,0.90588
338.04878,0.36283,0.88627
243.50365,0.99275,0.54118
2.00000,0.73171,0.64314
146.66667,0.30583,0.80784
233.68421,0.88889,0.67059
30.44776,0.94366,0.83529
300.91603,0.60930,0.84314
351.60000,0.30120,0.65098
88.07339,0.46383,0.92157
182.33766,0.96250,0.31373
342.43902,0.82329,0.97647
336.25000,0.24000,0.78431
351.29032,0.92537,0.78824
174.80769,0.50485,0.80784
27.36842,0.69512,0.96471
296.04790,0.70763,0.92549
74.75410,0.96825,0.74118
212.35294,0.65806,0.60784
141.29032,0.69925,0.52157
69.23077,0.92083,0.94118
315.00000,0.07018,0.44706
199.79381,0.63816,0.59608
246.90909,0.81683,0.79216
283.98058,0.82072,0.98431
224.08163,0.28000,0.68627
215.78947,0.26147,0.85490
0.00000,0.80567,0.96863
148.20000,0.47847,0.81961
206.13861,0.73723,0.53725
155.49738,0.97949,0.76471
186.66667,0.43612,0.89020
126.50602,0.55705,0.58431
169.05660,0.91379,0.68235
290.00000,0.52703,0.58039
222.46154,0.78788,0.64706
28.11189,0.91667,0.61176
161.53846,0.41489,0.73725
256.84211,0.67857,0.32941
322.30769,0.89143,0.68627
209.56522,0.94954,0.85490
264.00000,0.21858,0.71765
291.04478,0.80723,0.32549
62.48521,0.78241,0.84706
329.27419,0.98024,0.99216
157.59036,0.93258,0.69804
346.05405,0.88942,0.81569
190.24390,0.68908,0.93333
296.00000,0.27607,0.63922
273.50649,0.39896,0.75686
11.85185,0.66393,0.95686
214.48819,0.71751,0.69412
192.00000,0.19231,0.61176
47.72727,0.91667,0.94118
123.62637,0.98913,0.72157
136.12903,0.40260,0.90588
52.28571,0.28455,0.96471
113.83178,0.55155,0.76078
295.00000,0.14035,0.67059
346.28571,0.57065,0.72157
180.00000,0.16309,0.91373
253.10924,0.53125,0.87843
230.00000,0.61538,0.30588
54.09091,0.98507,0.52549
339.82063,0.88492,0.98824
105.97403,0.45562,0.66275
277.95918,0.52128,0.36863
58.53659,0.34599,0.92941
149.01099,0.72222,0.98824
307.13287,0.56746,0.98824
21.53846,0.15726,0.97255
169.43662,0.75936,0.73333
88.88889,0.78099,0.94902
192.42604,0.79717,0.83137
100.37383,0.82946,0.50588
240.00000,0.77647,1.00000
133.78378,0.49007,0.59216
83.94495,0.96460,0.88627
343.75000,0.32215,0.58431
318.66667,0.17787,0.99216
120.00000,0.78022,0.71373
114.60674,0.47090,0.74118
250.00000,0.77419,0.97255
342.90909,0.69620,0.92941
176.02041,0.97030,0.79216
195.75758,0.54098,0.71765
320.00000,0.94872,0.91765
55.55556,0.68528,0.77255
327.85714,0.69136,0.63529
172.09302,0.77711,0.65098
22.41379,0.72500,0.94118
208.57143,0.88732,0.27843
36.36364,0.66000,0.19608
42.85714,0.27632,0.29804
72.52427,0.88793,0.90980
85.27778,0.85039,0.99608
140.00000,0.36207,0.90980
327.22689,0.60101,0.77647
107.38462,0.84416,0.90588
156.84211,0.97436,0.45882
174.00000,0.10471,0.74902
335.93220,0.88060,0.78824
165.50000,0.69767,0.67451
187.96875,0.63054,0.79608
284.55696,0.94048,0.98824
166.28571,0.32110,0.42745
9.90291,0.98565,0.81961
271.55556,0.54878,0.96471
312.11538,0.93694,0.43529
70.31250,0.75294,0.33333
54.28571,0.10769,0.76471
44.15094,0.75177,0.55294
240.48000,0.78125,0.62745
296.66667,0.62609,0.45098
195.40107,0.87383,0.83922
51.00000,0.29703,0.79216
261.31148,0.87143,0.82353
267.60563,0.96380,0.86667
220.74627,0.60090,0.87451
336.66667,0.57325,0.61569
330.00000,0.15859,0.89020
320.00000,0.56170,0.92157
13.44828,0.27358,0.83137
200.00000,0.41753,0.76078
54.72527,0.72800,0.49020
49.60000,0.31381,0.93725
180.00000,0.44262,0.71765
262.70270,0.90244,0.64314
99.76331,0.68145,0.97255
126.52174,0.34074,0.52941
238.62069,0.97207,0.70196
55.93220,0.56190,0.82353
18.64865,0.51389,0.56471
232.96875,0.76190,0.65882
11.78571,1.00000,0.65882
347.30769,0.99522,0.81961
248.94737,0.90476,0.98824
315.71429,0.26415,0.62353
32.78351,0.82553,0.92157
85.78512,0.73333,0.64706
301.17647,0.75556,0.52941
111.89189,0.84733,0.51373
88.04348,0.45545,0.79216
51.69643,0.89243,0.98431
94.66667,0.65534,0.80784
38.13084,0.54315,0.77255
83.43750,0.75740,0.66275
86.82353,0.55195,0.60392
68.66667,0.35714,0.98824
320.88235,0.98077,0.81569
150.00000,0.45418,0.98431
38.13953,0.56579,0.89412
239.39394,0.98020,0.39608
277.61194,0.85897,0.91765
328.57143,0.61765,0.93333
77.58621,0.35366,0.64314
270.94737,0.75397,0.98824
74.43609,0.67513,0.77255
65.45455,0.90411,0.28627
75.00000,0.84615,0.81569
168.83721,0.58371,0.86667
232.63158,0.68675,0.65098
262.10526,0.34545,0.43137
266.27219,0.81250,0.81569
166.25000,0.75000,0.50196
284.72727,0.82090,0.78824
246.66667,0.20930,0.84314
75.56757,0.74899,0.96863
259.18033,0.48606,0.98431
188.64198,0.96047,0.99216
76.20000,0.95238,0.41176
211.11111,0.93506,0.90588
48.83721,0.97727,0.86275
116.93431,0.83537,0.64314
270.00000,0.52336,0.41961
17.14286,0.74757,0.80784
219.37500,0.39506,0.63529
210.86705,0.72385,0.93725
72.69231,0.55914,0.36471
160.00000,0.46154,0.56078
155.46667,0.92593,0.95294
272.94118,0.92727,0.43137
342.37288,0.72245,0.96078
357.78689,0.97992,0.97647
17.83784,0.68519,0.21176
320.70796,0.45935,0.96471
107.74194,0.77500,0.94118
162.16216,0.88446,0.98431
135.24324,0.77406,0.93725
101.73913,0.41818,0.86275
290.55118,0.81410,0.61176
265.49223,0.82479,0.91765
3.21951,0.87983,0.91373
313.16327,0.84483,0.90980
190.30043,0.97490,0.93725
207.61905,0.60287,0.81961
275.59322,0.78146,0.59216
138.10651,0.69262,0.95686
190.56338,0.81609,0.68235
124.05405,0.39153,0.74118
355.50000,0.35714,0.43922
315.86207,0.67442,0.50588
72.00000,0.60811,0.29020
354.68354,0.73832,0.83922
230.28902,0.75877,0.89412
277.94118,0.85000,0.62745
176.17021,0.43119,0.42745
234.32432,0.90798,0.63922
348.24324,0.69811,0.83137
91.23288,0.68224,0.41961
67.60976,0.82329,0.97647
256.82540,0.81818,0.90588
322.00000,0.44776,0.26275
83.68421,0.85586,0.87059
292.78195,0.69271,0.75294
332.30769,0.73387,0.97255
209.37063,0.56299,0.99608
76.36364,0.09821,0.87843
332.82353,0.90909,0.73333
143.52941,0.92169,0.65098
27.97546,0.76526,0.83529
172.40506,0.65021,0.95294
218.32599,0.91903,0.96863
353.07692,0.61611,0.82745
92.30769,0.98734,0.92941
276.42857,0.85590,0.89804
143.20000,0.65789,0.44706
198.15126,0.55607,0.83922
4.04494,0.52047,0.67059
113.06122,0.70335,0.81961
228.88889,0.57857,0.54902
308.70968,0.93939,0.25882
250.83333,0.70936,0.79608
80.71942,0.59657,0.91373
322.10526,0.70000,0.74510
203.80165,0.66484,0.71373
255.00000,0.09756,0.96471
265.67308,0.89655,0.90980
119.27273,0.82915,0.78039
189.19708,0.62844,0.85490
61.70213,0.89241,0.61961
51.71053,0.69406,0.85882
143.02326,0.45263,0.74510
194.59459,0.56923,0.25490
209.79310,0.64732,0.87843
151.30435,0.10132,0.89020
216.89840,0.97396,0.75294
317.93103,0.67969,0.50196
94.11765,0.62195,0.32157
41.56098,0.85062,0.94510
99.56897,0.92430,0.98431
6.87500,0.40506,0.92941
261.55340,0.50490,0.80000
297.69231,0.99454,0.71765
135.67164,0.53815,0.97647
39.00000,0.95238,0.41176
321.05263,0.33728,0.66275
103.37838,0.58730,0.98824
178.23529,0.98837,0.67451
196.87500,0.28571,0.43922
61.39535,0.51190,0.98824
247.32824,0.63592,0.80784
207.50000,0.72727,0.51765
40.60606,0.46047,0.84314
265.80645,0.59615,0.61176
158.95522,0.56067,0.93725
178.55072,0.95833,0.84706
149.63415,0.79612,0.80784
300.00000,0.50000,0.83137
159.41860,0.73191,0.92157
172.28571,0.47945,0.57255
30.26087,0.92000,0.98039
171.69231,0.95122,0.80392
131.34146,0.82828,0.77647
74.86239,1.00000,0.85490
269.17431,0.48018,0.89020
185.21739,0.34328,0.52549
8.84462,1.00000,0.98431
74.16309,0.94332,0.96863
161.50685,0.70192,0.81569
310.85714,0.89362,0.92157
1.09091,0.91286,0.94510
114.87179,0.47951,0.95686
193.24675,0.64167,0.94118
33.75000,0.87500,0.50196
77.87234,0.72308,0.25490
270.00000,0.99608,1.00000
90.54545,0.32353,0.66667
240.00000,0.39286,0.54902
126.34615,0.57459,0.70980
258.57143,0.63959,0.77255
277.91411,0.84021,0.76078
179.59732,0.81421,0.71765
9.71831,0.76757,0.72549
177.15976,0.89894,0.73725
34.04651,0.97285,0.86667
100.00000,0.75000,0.37647
110.25000,0.63745,0.98431
198.33333,0.28125,0.50196
128.23529,0.44934,0.89020
326.54867,0.60428,0.73333
264.00000,0.32258,0.48627
44.71154,0.93274,0.87451
80.08368,0.97154,0.96471
353.50515,0.89401,0.85098
38.18182,0.88442,0.78039
126.00000,0.64327,0.67059
232.71845,0.86192,0.93725
264.28571,0.97674,0.50588
269.62025,0.36744,0.84314
234.44444,0.43902,0.96471
105.15464,0.55429,0.68627
300.00000,0.58929,0.65882
136.98113,0.95495,0.43529
239.45455,0.65868,0.65490
296.03524,0.99127,0.89804
111.83673,0.63090,0.91373
144.90566,0.80711,0.77255
356.88312,0.34685,0.87059
115.80420,0.84118,0.66667
202.08333,0.94118,0.60000
51.37500,0.93567,0.67059
279.71831,0.83529,1.00000
54.24242,0.81481,0.95294
180.85714,0.80000,0.68627
69.79592,0.49000,0.78431
256.92308,0.18483,0.82745
243.03797,0.94048,0.65882
41.18644,0.72840,0.63529
75.70093,0.86640,0.96863
8.85246,0.25207,0.94902
84.40678,0.69412,0.66667
244.00000,0.99174,0.94902
37.68293,0.88172,0.72941
125.80645,0.53680,0.90588
347.27273,0.84255,0.92157
344.03670,0.60556,0.70588
309.92126,0.52697,0.94510
294.11765,0.51515,0.38824
336.61538,0.91981,0.83137
258.38710,0.52991,0.91765
348.57143,0.66403,0.99216
11.50685,0.68224,0.41961
253.63636,0.26295,0.98431
64.54545,0.98507,0.52549
57.32484,0.90230,0.68235
39.23077,0.93413,0.65490
244.34783,0.76667,0.70588
64.10256,0.60622,0.75686
44.10596,0.61134,0.96863
33.44262,0.63874,0.74902
258.75000,0.85207,0.66275
308.62275,0.83500,0.78431
260.86957,0.56442,0.63922
210.39648,0.92653,0.96078
200.28777,0.58650,0.92941
176.57143,0.48276,0.56863
206.19048,0.80255,0.61569
143.79310,0.50000,0.90980
291.78082,0.61864,0.92549
338.02326,0.96629,0.69804
231.48649,0.77487,0.74902
135.00000,0.33962,0.83137
289.64602,0.89683,0.98824
213.48837,0.48045,0.70196
100.00000,0.78000,0.98039
291.54930,0.30603,0.90980
4.68750,0.32821,0.76471
81.63934,0.37195,0.64314
31.13924,0.31984,0.96863
16.82927,0.70386,0.91373
262.54777,0.72685,0.84706
144.45652,0.85981,0.83922
304.92537,0.81707,0.64314
54.16667,0.52941,0.53333
82.57426,0.47642,0.83137
257.96791,0.89048,0.82353
345.67164,0.56780,0.46275
8.68966,0.66514,0.85490
192.25532,0.92157,1.00000
78.82353,0.30909,0.64706
178.75000,0.38095,0.98824
314.09639,0.87831,0.74118
326.18182,0.29891,0.72157
144.78261,0.74797,0.48235
103.06452,0.80000,0.60784
290.59908,0.86800,0.98039
145.41176,0.63910,0.52157
148.30189,0.89831,0.23137
199.56522,0.34328,0.52549
250.50000,0.35088,0.44706
254.16667,0.72000,0.39216
94.19355,0.38115,0.95686
310.51095,0.58051,0.92549
17.33333,0.19651,0.89804
339.84733,0.60648,0.84706
178.66667,0.42453,0.41569
285.68182,0.55696,0.61961
56.00000,0.73770,0.23922
247.05882,0.60355,0.66275
75.61644,0.87952,0.32549
345.23810,0.73684,0.67059
280.95238,0.66316,0.74510
19.26316,0.80508,0.92549
171.76471,0.42678,0.93725
218.69565,0.73797,0.73333
136.36364,0.60000,0.43137
304.14634,0.98400,0.98039
261.49254,0.77011,0.68235
228.94737,0.26207,0.56863
8.75000,0.98969,0.76078
31.71975,0.91813,0.67059
73.58491,0.76812,0.27059
72.63158,0.48101,0.92941
111.05590,0.70925,0.89020
70.54054,0.47742,0.60784
120.67416,0.72065,0.96863
181.55172,0.92800,0.98039
30.24793,0.58738,0.80784
91.15385,0.36879,0.55294
160.45872,0.89344,0.95686
26.22222,0.57447,0.92157
337.28155,0.47907,0.84314
278.26087,0.84146,0.64314
186.51429,0.95628,0.71765
282.70270,0.67273,0.64706
213.65854,0.57477,0.83922
232.83582,0.37853,0.69412
240.00000,0.61053,0.37255
156.00000,0.52326,0.33725
303.60656,0.81696,0.87843
267.14286,0.97110,0.67843
147.11538,0.50242,0.81176
114.62687,0.41615,0.63137
26.66667,0.67220,0.94510
193.66337,0.56111,0.70588
310.25126,0.83264,0.93725
85.05495,0.38075,0.93725
46.31579,0.76339,0.87843
110.37037,0.66393,0.47843
331.20000,0.60976,0.64314
257.10280,0.88066,0.95294
115.23810,0.68478,0.36078
125.38462,0.81675,0.74902
266.53846,0.27660,0.73725
351.56250,0.62745,0.80000
252.54545,0.65868,0.65490
248.24176,0.71937,0.99216
344.65116,0.83092,0.81176
190.86957,0.59740,0.90588
282.09677,0.75152,0.64706
90.60403,0.59363,0.98431
207.97753,0.84762,0.82353
111.52941,0.85000,0.78431
20.00000,0.93750,0.50196
280.71429,0.92181,0.95294
2.76923,0.79592,0.96078
0.00000,0.13360,0.96863
163.22034,0.78146,0.59216
265.45455,0.53012,0.97647
43.84615,0.46847,0.43529
358.86792,0.33544,0.61961
32.41706,0.83071,0.99608
271.21951,0.66486,0.72549
346.15385,0.68980,0.96078
270.50000,0.49793,0.94510
200.15625,0.54468,0.92157
140.78740,0.65464,0.76078
49.57627,0.99578,0.92941
49.78723,0.89952,0.81961
347.84314,0.87931,0.68235
272.26415,0.92982,0.44706
105.42857,0.61947,0.88627
156.71642,0.80080,0.98431
356.53846,0.80000,0.50980
140.00000,0.76243,0.70980
56.91176,0.61261,0.87059
241.01695,0.52444,0.88235
332.21477,0.87135,0.67059
319.27273,0.76744,0.84314
136.90141,0.93421,0.29804
206.66667,0.30000,0.82353
222.60000,0.78431,1.00000
7.35849,0.79699,0.52157
114.30380,0.75962,0.81569
61.27660,0.21560,0.85490
150.85714,0.53030,0.77647
20.93750,0.76494,0.98431
13.33333,0.37657,0.93725
74.51613,0.86512,0.84314
220.00000,0.55102,0.96078
32.69841,0.96429,0.76863
316.36364,0.34375,0.25098
304.31373,0.80105,0.74902
36.75676,0.87402,0.49804
44.62312,0.78039,1.00000
107.63359,0.71196,0.72157
333.33333,0.18443,0.95686
241.66667,0.14694,0.96078
183.12139,0.89175,0.76078
184.00000,0.67839,0.78039
98.13084,0.60112,0.69804
336.66667,0.48387,0.72941
49.20000,0.63291,0.30980
221.53846,0.74590,0.47843
26.08696,0.73182,0.86275
239.07692,0.38922,0.65490
6.94215,0.74691,0.63529
287.60000,0.77720,0.75686
93.91304,0.34328,0.78824
213.47826,0.88462,0.61176
65.62500,0.31527,0.79608
276.45161,0.84163,0.86667
33.63636,0.26087,0.99216
47.47253,0.95288,0.74902
260.00000,0.96196,0.72157
196.84211,0.23554,0.94902
170.33898,0.97521,0.47451
109.77778,0.78947,0.67059
45.54217,0.69167,0.47059
277.91411,0.77251,0.82745
284.19162,0.86979,0.75294
212.67606,0.98611,0.84706
223.04348,0.46701,0.77255
254.57143,0.30568,0.89804
292.50000,0.51282,0.91765
134.11765,0.46789,0.85490
317.14286,0.66316,0.37255
210.61224,0.28161,0.68235
305.34031,0.76096,0.98431
104.32161,0.85776,0.90980
306.70391,0.90863,0.77255
216.05634,0.99533,0.83922
236.05263,0.76768,0.77647
320.16393,0.68156,0.70196
99.62264,0.96364,0.64706
347.41935,0.89423,0.81569
37.50000,0.17680,0.70980
348.00000,0.12605,0.93333
151.76471,0.82126,0.81176
220.95238,0.54783,0.45098
293.28358,0.77907,0.67451
181.66667,0.15063,0.93725
185.56701,0.47783,0.79608
310.56818,0.82243,0.83922
217.34694,0.39200,0.98039
67.68473,0.95305,0.83529
330.50000,0.99174,0.94902
118.22034,0.94400,0.98039
119.26829,0.67490,0.95294
205.14970,0.78774,0.83137
12.53731,0.58261,0.45098
164.92611,0.90222,0.88235
38.12155,0.92821,0.76471
178.09524,0.42857,0.57647
211.65354,0.55702,0.89412
98.78788,0.90826,0.42745
213.77778,0.65534,0.80784
265.20000,0.33557,0.58431
98.57143,0.20388,0.80784
105.88235,0.69388,0.57647
304.13793,0.29442,0.77255
9.29577,0.41040,0.67843
252.16783,0.76064,0.73725
242.44898,0.80769,0.71373
180.00000,0.61818,0.21569
15.00000,0.68670,0.91373
114.00000,0.76271,0.92549
277.50000,0.48120,0.52157
292.82609,0.58228,0.61961
328.06452,0.62626,0.38824
333.69863,0.57255,1.00000
98.37838,0.79856,0.54510
50.62500,0.14159,0.88627
4.10256,0.95902,0.95686
104.81928,0.85128,0.76471
130.00000,0.86441,0.92549
273.10345,0.34940,0.65098
326.84211,0.16102,0.92549
337.15736,0.90367,0.85490
180.63158,0.45894,0.81176
296.78571,0.68016,0.96863
13.43284,0.30876,0.85098
257.94393,0.82308,0.50980
231.42857,0.19774,0.69412
25.38462,0.31902,0.63922
102.08531,0.92140,0.89804
35.03356,0.90303,0.64706
96.09959,0.94510,1.00000
155.69620,0.34348,0.90196
191.05263,0.48927,0.91373
194.68085,0.82096,0.89804
95.14286,0.39548,0.69412
313.24675,0.49045,0.61569
38.40000,0.58140,0.16863
266.73575,0.92788,0.81569
21.56863,0.70507,0.85098
315.45064,0.95492,0.95686
221.34715,0.90187,0.83922
276.70588,0.57432,0.58039
245.42169,0.88770,0.73333
102.10526,0.36538,0.61176
36.66667,0.59016,0.71765
55.28090,0.83568,0.83529
161.75676,0.84091,0.69020
131.08280,0.92353,0.66667
59.41463,0.80392,1.00000
355.86207,0.30526,0.37255
95.12195,0.29078,0.55294
335.32995,0.83830,0.92157
197.41935,0.72515,0.67059
44.89510,0.64706,0.86667
63.68421,0.96610,0.46275
346.05634,0.66355,0.83922
280.94421,0.92095,0.99216
328.75000,0.78689,0.71765
146.44550,0.87552,0.94510
106.48352,0.73092,0.97647
230.66667,0.75949,0.92941
12.18750,0.27234,0.92157
162.75000,0.36036,0.87059
6.00000,0.24291,0.96863
124.95868,0.75625,0.62745
210.00000,0.51309,0.74902
254.91329,0.68924,0.98431
24.82759,0.78733,0.86667
121.93548,0.39407,0.92549
351.14754,0.34078,0.70196
128.78981,0.92353,0.66667
255.00000,0.30000,0.78431
166.29630,0.79803,0.79608
95.73529,0.71579,0.74510
191.52318,0.61885,0.95686
275.62500,0.58182,0.21569
144.21053,0.78621,0.56863
30.32967,0.81982,0.43529
160.25806,0.66524,0.91373
211.46853,0.65899,0.85098
290.80000,0.69767,0.84314
254.10138,0.90041,0.94510
270.29126,1.00000,0.40392
216.98113,0.90341,0.69020
9.57983,0.94821,0.98431
328.48101,0.83598,0.74118
232.14953,0.69935,0.60000
100.78431,0.67699,0.88627
317.06422,0.46383,0.92157
109.24528,0.85141,0.97647
151.35135,0.96943,0.89804
206.92913,0.50800,0.98039
12.25532,0.96311,0.95686
279.51220,0.80000,0.80392
325.71429,0.92647,0.53333
277.02128,0.33813,0.54510
236.49635,0.78286,0.68627
209.44785,0.96450,0.66275
171.86441,0.47390,0.97647
343.37349,0.72174,0.45098
157.89474,0.74219,0.50196
76.18257,0.99177,0.95294
111.52174,0.47179,0.76471
134.81013,0.77833,0.79608
324.17266,0.76796,0.70980
276.00000,0.65341,0.69020
217.50000,0.98765,0.63529
252.00000,0.97059,0.66667
46.71429,0.56911,0.96471
160.26316,0.69725,0.85490
151.33333,0.83333,0.42353
0.57143,0.84000,0.49020
15.92920,0.72903,0.60784
140.64516,0.89855,0.81176
13.56522,0.63889,0.70588
201.40541,0.76132,0.95294
112.13793,0.93548,0.60784
8.40000,0.63291,0.92941
87.09677,0.19136,0.63529
13.07692,0.44828,0.68235
277.40741,0.77885,0.81569
296.73469,0.58800,0.98039
240.00000,0.55288,0.81569
110.67961,0.57542,0.70196
127.01299,0.69058,0.87451
125.50459,0.66061,0.64706
167.14286,1.00000,0.16471
98.43750,0.75294,0.33333
187.94118,0.53333,1.00000
281.47651,0.74129,0.78824
19.42857,0.56452,0.72941
164.55090,0.86979,0.75294
159.39394,0.99000,0.78431
256.63866,0.87500,0.53333
115.62500,0.84581,0.89020
286.71141,0.61066,0.95686
22.83186,0.63842,0.69412
325.71429,0.40807,0.87451
38.84615,0.85246,0.71765
142.70270,0.71154,0.81569
335.00000,0.07453,0.63137
164.66667,0.89109,0.79216
280.13514,0.68203,0.85098
10.21978,0.95789,0.74510
36.66667,0.23789,0.89020
107.27273,0.14537,0.89020
193.19149,0.61304,0.90196
146.66667,0.90000,0.43137
208.18182,0.67347,0.38431
97.50000,0.32653,0.38431
129.34132,0.99405,0.65882
84.55696,0.95181,0.97647
68.73239,0.99533,0.83922
210.26087,0.52511,0.85882
290.72727,0.95652,0.45098
160.32787,0.99187,0.48235
213.98230,0.46311,0.95686
181.77778,0.96429,0.54902
28.65169,0.78414,0.89020
3.71134,0.94634,0.80392
234.33962,0.79500,0.78431
320.00000,0.59155,0.83529
