hue,saturation,lightness
27.97546,0.65992,0.51569
172.40506,0.86813,0.64314
218.32599,0.93416,0.52353
353.07692,0.59633,0.57255
92.30769,0.97500,0.47059
276.42857,0.79032,0.51373
143.20000,0.49020,0.30000
198.15126,0.59204,0.60588
4.04494,0.35178,0.49608
113.06122,0.61506,0.53137
228.88889,0.40704,0.39020
308.70968,0.88571,0.13725
250.83333,0.58065,0.51373
80.71942,0.75956,0.64118
322.10526,0.53846,0.48431
203.80165,0.49794,0.47647
255.00000,0.57143,0.91765
265.67308,0.81890,0.50196
119.27273,0.70815,0.45686
189.19708,0.64929,0.58627
61.70213,0.80571,0.34314
51.71053,0.67857,0.56078
143.02326,0.39815,0.57647
194.59459,0.39785,0.18235
209.79310,0.70048,0.59412
151.30435,0.29114,0.84510
216.89840,0.94924,0.38627
317.93103,0.51479,0.33137
94.11765,0.45133,0.22157
41.56098,0.87983,0.54314
99.56897,0.96667,0.52941
6.87500,0.72727,0.74118
261.55340,0.50244,0.59804
297.69231,0.98913,0.36078
135.67164,0.91781,0.71373
39.00000,0.90909,0.21569
321.05263,0.24891,0.55098
103.37838,0.96104,0.69804
178.23529,0.97701,0.34118
196.87500,0.16667,0.37647
61.39535,0.95556,0.73529
247.32824,0.57205,0.55098
207.50000,0.57143,0.32941
40.60606,0.55307,0.64902
265.80645,0.42466,0.42941
158.95522,0.80723,0.67451
178.55072,0.92000,0.44118
149.63415,0.66129,0.48627
300.00000,0.55208,0.62353
159.41860,0.81132,0.58431
172.28571,0.31532,0.43529
30.26087,0.95833,0.52941
171.69231,0.90698,0.42157
131.34146,0.70690,0.45490
74.86239,1.00000,0.42745
269.17431,0.66061,0.67647
185.21739,0.20721,0.43529
8.84462,1.00000,0.49216
74.16309,0.93574,0.51176
161.50685,0.60833,0.52941
310.85714,0.84000,0.50980
1.09091,0.88710,0.51373
114.87179,0.84173,0.72745
193.24675,0.83696,0.63922
33.75000,0.77778,0.28235
77.87234,0.56627,0.16275
270.00000,1.00000,0.50196
90.54545,0.24444,0.55882
240.00000,0.24444,0.44118
126.34615,0.41270,0.50588
258.57143,0.52066,0.52549
277.91411,0.72444,0.44118
179.59732,0.68664,0.42549
9.71831,0.62281,0.44706
177.15976,0.81643,0.40588
34.04651,0.94714,0.44510
100.00000,0.60000,0.23529
110.25000,0.95238,0.67059
198.33333,0.16364,0.43137
128.23529,0.64557,0.69020
326.54867,0.45382,0.51176
264.00000,0.19231,0.40784
44.71154,0.87395,0.46667
80.08368,0.94466,0.49608
353.50515,0.80833,0.47059
38.18182,0.79279,0.43529
126.00000,0.47414,0.45490
232.71845,0.86555,0.53333
264.28571,0.95455,0.25882
269.62025,0.49686,0.68824
234.44444,0.85714,0.75294
105.15464,0.38340,0.49608
300.00000,0.41772,0.46471
136.98113,0.91379,0.22745
239.45455,0.49107,0.43922
296.03524,0.98268,0.45294
111.83673,0.76963,0.62549
144.90566,0.67660,0.46078
356.88312,0.53846,0.71961
115.80420,0.72589,0.38627
202.08333,0.88889,0.31765
51.37500,0.87912,0.35686
279.71831,1.00000,0.58235
54.24242,0.89189,0.56471
180.85714,0.66667,0.41176
69.79592,0.47115,0.59216
256.92308,0.30709,0.75098
243.03797,0.88764,0.34902
41.18644,0.57282,0.40392
75.70093,0.93043,0.54902
8.85246,0.70115,0.82941
84.40678,0.53153,0.43529
244.00000,0.98361,0.47843
37.68293,0.78846,0.40784
125.80645,0.72093,0.66275
347.27273,0.83193,0.53333
344.03670,0.43426,0.49216
309.92126,0.81935,0.69608
294.11765,0.34694,0.28824
336.61538,0.85153,0.44902
258.38710,0.74699,0.67451
348.57143,0.97674,0.66275
11.50685,0.51773,0.27647
253.63636,0.89189,0.85490
64.54545,0.97059,0.26667
57.32484,0.82199,0.37451
39.23077,0.87640,0.34902
244.34783,0.62162,0.43529
64.10256,0.48548,0.52745
44.10596,0.90419,0.67255
33.44262,0.48800,0.50980
258.75000,0.74227,0.38039
308.62275,0.71674,0.45686
260.86957,0.39316,0.45882
210.39648,0.91903,0.51569
200.28777,0.79429,0.65686
176.57143,0.31818,0.43137
206.19048,0.67021,0.36863
143.79310,0.71605,0.68235
291.78082,0.79348,0.63922
338.02326,0.93478,0.36078
231.48649,0.63248,0.45882
135.00000,0.45570,0.69020
289.64602,0.97414,0.54510
213.48837,0.36134,0.53333
100.00000,0.95122,0.59804
291.54930,0.60684,0.77059
4.68750,0.34783,0.63922
81.63934,0.25103,0.52353
31.13924,0.83158,0.81373
16.82927,0.78846,0.59216
262.54777,0.66809,0.53922
144.45652,0.75410,0.47843
304.92537,0.69072,0.38039
54.16667,0.36000,0.39216
82.57426,0.54011,0.63333
257.96791,0.80258,0.45686
345.67164,0.39645,0.33137
8.68966,0.66210,0.57059
192.25532,1.00000,0.53922
78.82353,0.22078,0.54706
178.75000,0.94118,0.80000
314.09639,0.78302,0.41569
326.18182,0.27919,0.61373
144.78261,0.59740,0.30196
103.06452,0.66667,0.36471
290.59908,0.95595,0.55490
145.41176,0.46961,0.35490
148.30189,0.81538,0.12745
199.56522,0.20721,0.43529
250.50000,0.21277,0.36863
254.16667,0.56250,0.25098
94.19355,0.80870,0.77451
310.51095,0.78286,0.65686
17.33333,0.46392,0.80980
339.84733,0.62679,0.59020
178.66667,0.26946,0.32745
285.68182,0.38596,0.44706
56.00000,0.58442,0.15098
247.05882,0.43220,0.46275
75.61644,0.78495,0.18235
345.23810,0.58333,0.42353
280.95238,0.49606,0.49804
19.26316,0.83333,0.55294
171.76471,0.76119,0.73725
218.69565,0.58475,0.46275
136.36364,0.42857,0.30196
304.14634,0.96850,0.49804
261.49254,0.62617,0.41961
228.94737,0.15079,0.49412
8.75000,0.97959,0.38431
31.71975,0.84865,0.36275
73.58491,0.62353,0.16667
72.63158,0.76000,0.70588
111.05590,0.74194,0.57451
70.54054,0.31356,0.46275
120.67416,0.91753,0.61961
181.55172,0.95868,0.52549
30.24793,0.55251,0.57059
91.15385,0.22609,0.45098
160.45872,0.90833,0.52941
26.22222,0.77143,0.65686
337.28155,0.56284,0.64118
278.26087,0.72632,0.37255
186.51429,0.91623,0.37451
282.70270,0.50685,0.42941
213.65854,0.60000,0.59804
232.83582,0.30045,0.56275
240.00000,0.43939,0.25882
156.00000,0.35433,0.24902
303.60656,0.74694,0.51961
267.14286,0.94382,0.34902
147.11538,0.52000,0.60784
114.62687,0.26275,0.50000
26.66667,0.85263,0.62745
193.66337,0.40239,0.50784
310.25126,0.86147,0.54706
85.05495,0.73984,0.75882
46.31579,0.73391,0.54314
110.37037,0.49693,0.31961
331.20000,0.43860,0.44706
257.10280,0.89916,0.53333
115.23810,0.52066,0.23725
125.38462,0.69027,0.44314
266.53846,0.27957,0.63529
351.56250,0.55652,0.54902
252.54545,0.49107,0.43922
248.24176,0.97849,0.63529
344.65116,0.71074,0.47451
190.86957,0.74194,0.63529
282.09677,0.60194,0.40392
90.60403,0.94904,0.69216
207.97753,0.73554,0.47451
111.52941,0.73913,0.45098
20.00000,0.88235,0.26667
280.71429,0.90323,0.51373
2.76923,0.90698,0.57843
0.00000,0.67347,0.90392
163.22034,0.64130,0.36078
265.45455,0.91667,0.71765
43.84615,0.30588,0.33333
358.86792,0.21457,0.51569
32.41706,0.99061,0.58235
271.21951,0.49798,0.48431
346.15385,0.89418,0.62941
270.50000,0.81081,0.70980
200.15625,0.76190,0.67059
140.78740,0.51004,0.51176
49.57627,0.99160,0.46667
49.78723,0.81739,0.45098
347.84314,0.78462,0.38235
272.26415,0.86885,0.23922
105.42857,0.70707,0.61176
156.71642,0.96172,0.59020
356.53846,0.66667,0.30588
140.00000,0.61607,0.43922
56.91176,0.67327,0.60392
241.01695,0.66292,0.65098
332.21477,0.77202,0.37843
319.27273,0.67347,0.51961
136.90141,0.87654,0.15882
206.66667,0.41176,0.70000
222.60000,1.00000,0.60784
7.35849,0.66250,0.31373
114.30380,0.62698,0.50588
61.27660,0.38843,0.76275
150.85714,0.47945,0.57059
20.93750,0.96000,0.60784
13.33333,0.73770,0.76078
74.51613,0.76230,0.47843
220.00000,0.87097,0.69608
32.69841,0.93103,0.39804
316.36364,0.20755,0.20784
304.31373,0.66812,0.44902
36.75676,0.77622,0.28039
44.62312,1.00000,0.60980
107.63359,0.55274,0.46471
333.33333,0.67164,0.86863
241.66667,0.64286,0.89020
183.12139,0.80465,0.42157
184.00000,0.54656,0.51569
98.13084,0.42972,0.48824
336.66667,0.39474,0.55294
49.20000,0.46296,0.21176
221.53846,0.59477,0.30000
26.08696,0.69697,0.54706
239.07692,0.26971,0.52745
6.94215,0.59606,0.39804
287.60000,0.63559,0.46275
93.91304,0.38983,0.65294
213.47826,0.79310,0.34118
65.62500,0.38095,0.67059
276.45161,0.73228,0.50196
33.63636,0.94286,0.86275
47.47253,0.91000,0.39216
260.00000,0.92670,0.37451
196.84211,0.68675,0.83725
170.33898,0.95161,0.24314
109.77778,0.65217,0.40588
45.54217,0.52866,0.30784
277.91411,0.64940,0.50784
284.19162,0.76959,0.42549
212.67606,0.97260,0.42941
223.04348,0.44231,0.59216
254.57143,0.57377,0.76078
292.50000,0.74074,0.68235
134.11765,0.57955,0.65490
317.14286,0.49606,0.24902
210.61224,0.23223,0.58627
305.34031,0.95980,0.60980
104.32161,0.81224,0.51961
306.70391,0.83256,0.42157
216.05634,0.99070,0.42157
236.05263,0.62295,0.47843
320.16393,0.51695,0.46275
99.62264,0.92982,0.33529
347.41935,0.80870,0.45098
37.50000,0.17778,0.64706
348.00000,0.46875,0.87451
151.76471,0.69672,0.47843
220.95238,0.37725,0.32745
293.28358,0.63810,0.41176
181.66667,0.52941,0.86667
185.56701,0.48259,0.60588
310.56818,0.69841,0.49412
217.34694,0.90741,0.78824
67.68473,0.91031,0.43725
330.50000,0.98361,0.47843
118.22034,0.95935,0.51765
119.26829,0.87234,0.63137
205.14970,0.66008,0.50392
12.53731,0.41104,0.31961
164.92611,0.82186,0.48431
38.12155,0.86603,0.40980
178.09524,0.27273,0.45294
211.65354,0.70166,0.64510
98.78788,0.83193,0.23333
213.77778,0.57940,0.54314
265.20000,0.20161,0.48627
98.57143,0.30000,0.72549
105.88235,0.53125,0.37647
304.13793,0.33333,0.65882
9.29577,0.30213,0.53922
252.16783,0.61373,0.45686
242.44898,0.67742,0.42549
180.00000,0.44737,0.14902
15.00000,0.78431,0.60000
114.00000,0.82569,0.57255
277.50000,0.31683,0.39608
292.82609,0.41071,0.43922
328.06452,0.45588,0.26667
333.69863,1.00000,0.71373
98.37838,0.66467,0.32745
50.62500,0.35556,0.82353
4.10256,0.92126,0.49804
104.81928,0.74107,0.43922
130.00000,0.84298,0.52549
273.10345,0.24576,0.53725
326.84211,0.50000,0.85098
337.15736,0.82427,0.46863
180.63158,0.49738,0.62549
296.78571,0.91304,0.63922
13.43284,0.46853,0.71961
257.94393,0.69935,0.30000
231.42857,0.18325,0.62549
25.38462,0.22034,0.53725
102.08531,0.85425,0.48431
35.03356,0.82320,0.35490
96.09959,1.00000,0.52745
155.69620,0.61240,0.74706
191.05263,0.72152,0.69020
194.68085,0.78333,0.52941
95.14286,0.30973,0.55686
313.24675,0.32489,0.46471
38.40000,0.40984,0.11961
266.73575,0.86547,0.43725
21.56863,0.66812,0.55098
315.45064,0.91373,0.50000
221.34715,0.82128,0.46078
276.70588,0.40284,0.41373
245.42169,0.79808,0.40784
102.10526,0.22353,0.50000
36.66667,0.42857,0.50588
55.28090,0.71774,0.48627
161.75676,0.72549,0.40000
131.08280,0.85792,0.35882
59.41463,1.00000,0.59804
355.86207,0.18012,0.31569
95.12195,0.17012,0.47255
335.32995,0.83122,0.53529
197.41935,0.56881,0.42745
44.89510,0.67773,0.58627
63.68421,0.93443,0.23922
346.05634,0.63393,0.56078
280.94421,0.98312,0.53529
328.75000,0.64865,0.43529
146.44550,0.88285,0.53137
106.48352,0.93814,0.61961
230.66667,0.83333,0.57647
12.18750,0.61538,0.79608
162.75000,0.54795,0.71373
6.00000,0.78947,0.85098
124.95868,0.60804,0.39020
210.00000,0.43363,0.55686
254.91329,0.95580,0.64510
24.82759,0.71901,0.52549
121.93548,0.70992,0.74314
351.14754,0.28638,0.58235
128.78981,0.85792,0.35882
255.00000,0.35294,0.66667
166.29630,0.66393,0.47843
95.73529,0.55738,0.47843
191.52318,0.87283,0.66078
275.62500,0.41026,0.15294
144.21053,0.64773,0.34510
30.32967,0.69466,0.25686
160.25806,0.77889,0.60980
211.46853,0.65297,0.57059
290.80000,0.65217,0.54902
254.10138,0.88571,0.51961
270.29126,1.00000,0.20196
216.98113,0.82383,0.37843
9.57983,0.96748,0.51765
328.48101,0.71818,0.43137
232.14953,0.53769,0.39020
100.78431,0.72512,0.58627
317.06422,0.73154,0.70784
109.24528,0.94643,0.56078
151.35135,0.94068,0.46275
206.92913,0.92701,0.73137
12.25532,0.92885,0.49608
279.51220,0.66667,0.48235
325.71429,0.86301,0.28627
277.02128,0.20346,0.45294
236.49635,0.64319,0.41765
209.44785,0.93143,0.34314
171.86441,0.90769,0.74510
343.37349,0.56463,0.28824
157.89474,0.59006,0.31569
76.18257,0.98367,0.48039
111.52174,0.43396,0.58431
134.81013,0.63710,0.48627
324.17266,0.62332,0.43725
276.00000,0.48523,0.46471
217.50000,0.97561,0.32157
252.00000,0.94286,0.34314
46.71429,0.88608,0.69020
160.26316,0.67257,0.55686
151.33333,0.71429,0.24706
0.57143,0.72414,0.28431
15.92920,0.57360,0.38627
140.64516,0.81579,0.44706
13.56522,0.46939,0.48039
201.40541,0.88517,0.59020
112.13793,0.87879,0.32353
8.40000,0.80645,0.63529
87.09677,0.14286,0.57451
13.07692,0.32500,0.52941
277.40741,0.63780,0.49804
296.73469,0.93631,0.69216
240.00000,0.55024,0.59020
110.67961,0.40392,0.50000
127.01299,0.70642,0.57255
125.50459,0.49321,0.43333
167.14286,1.00000,0.08235
98.43750,0.60377,0.20784
187.94118,1.00000,0.73333
281.47651,0.58893,0.49608
19.42857,0.43210,0.52353
164.55090,0.76959,0.42549
159.39394,0.98020,0.39608
256.63866,0.77778,0.30000
115.62500,0.77419,0.51373
286.71141,0.87135,0.66471
22.83186,0.46888,0.47255
325.71429,0.58710,0.69608
38.84615,0.74286,0.41176
142.70270,0.61157,0.52549
335.00000,0.06000,0.60784
164.66667,0.80357,0.43922
280.13514,0.66071,0.56078
10.21978,0.91919,0.38824
36.66667,0.49091,0.78431
107.27273,0.37079,0.82549
193.19149,0.73822,0.62549
146.66667,0.81818,0.23725
208.18182,0.50769,0.25490
97.50000,0.19512,0.32157
129.34132,0.98817,0.33137
84.55696,0.95181,0.51176
68.73239,0.99070,0.42157
210.26087,0.61497,0.63333
290.72727,0.91667,0.23529
160.32787,0.98387,0.24314
213.98230,0.83704,0.73529
181.77778,0.93103,0.28431
28.65169,0.76068,0.54118
3.71134,0.89815,0.42353
234.33962,0.65975,0.47255
